feature,split,n_rescued,wr_rescued,edge_rescued,pnl_rescued,n_weeks,worst_wk_share,edge_remainder,n_remainder,pnl_remainder
vol_60m,>=0.0008135(q0.9),15,0.6666666666666666,0.08466666666666656,-13.180000000000003,5,44.477451682176095,-0.24364341085271324,129,-2220.72
vol_60m,<0.0008135(q0.9),129,0.3178294573643411,-0.24364341085271324,-2220.72,8,41.34261833443941,0.08466666666666656,15,-13.180000000000003
vol_60m_model,>=0.0002054(q0.1),129,0.3643410852713178,-0.1960852713178296,-1944.6399999999999,7,36.71521565576958,-0.3243333333333333,15,-289.26
vol_60m_model,<0.0002054(q0.1),15,0.26666666666666666,-0.3243333333333333,-289.26,4,44.29578925534122,-0.1960852713178296,129,-1944.6399999999999
vol_60m_model,>=0.0002744(q0.2),115,0.3739130434782609,-0.1776086956521739,-1650.07,7,40.68596620484345,-0.3356896551724138,29,-583.8299999999999
vol_60m_model,<0.0002744(q0.2),29,0.27586206896551724,-0.3356896551724138,-583.8299999999999,5,44.55063974102049,-0.1776086956521739,115,-1650.07
vol_60m_model,>=0.000349(q0.3),101,0.37623762376237624,-0.162970297029703,-1371.09,7,47.95791411660637,-0.3186046511627906,43,-862.8100000000001
vol_60m_model,<0.000349(q0.3),43,0.3023255813953488,-0.3186046511627906,-862.8100000000001,6,53.700119377383196,-0.162970297029703,101,-1371.09
vol_60m_model,>=0.0003852(q0.4),86,0.37209302325581395,-0.15459302325581403,-1127.49,6,46.85677594138395,-0.29077586206896555,58,-1106.4099999999999
vol_60m_model,<0.0003852(q0.4),58,0.3275862068965517,-0.29077586206896555,-1106.4099999999999,7,38.439638108838494,-0.15459302325581403,86,-1127.49
vol_60m_model,>=0.0004297(q0.5),72,0.375,-0.15722222222222226,-922.2399999999999,6,48.42428405821991,-0.26166666666666677,72,-1311.66
vol_60m_model,<0.0004297(q0.5),72,0.3333333333333333,-0.26166666666666677,-1311.66,7,38.128020981046916,-0.15722222222222226,72,-922.2399999999999
