config,week,n,auc,rank_ic
E,2025-10-23/2025-10-29,168,0.49722656805575305,-0.004795580699933308
E,2025-10-30/2025-11-05,168,0.5621456916099773,0.10764399040732343
E,2025-11-06/2025-11-12,168,0.47736625514403297,-0.03919681218330388
E,2025-11-13/2025-11-19,168,0.5645069216497789,0.11135092734995192
E,2025-11-20/2025-11-26,168,0.5788428814520703,0.1366604418587453
E,2025-11-27/2025-12-03,168,0.5053632723112128,0.00925146217795985
E,2025-12-04/2025-12-10,168,0.5383851284234425,0.06645649689303873
E,2025-12-11/2025-12-17,168,0.5316931366988088,0.0548799848782911
E,2025-12-18/2025-12-24,168,0.5187500000000002,0.03243968562448862
E,2025-12-25/2025-12-31,168,0.5010630758327428,0.001841205820185322
E,2026-01-01/2026-01-07,168,0.5217607737163988,0.03762495929954256
E,2026-01-08/2026-01-14,168,0.4450510493477028,-0.09515437753395715
E,2026-01-15/2026-01-21,168,0.47268306636155605,-0.047152413370475404
E,2026-01-22/2026-01-28,168,0.47637292464878667,-0.04116942584572245
E,2026-01-29/2026-02-04,168,0.4993489583333333,-0.0011215229012626312
E,2026-02-05/2026-02-11,168,0.5060369318181819,0.010483097028131178
E,2026-02-12/2026-02-18,168,0.5829551900170163,0.1443183239052294
E,2026-02-19/2026-02-25,168,0.5103825913810269,0.018023848303246725
E,2026-02-26/2026-03-04,168,0.53706591070163,0.06419849688076006
E,2026-03-05/2026-03-11,168,0.42934472934472934,-0.12207056336174044
E,2026-03-12/2026-03-18,168,0.5116312259169402,0.020102770850252756
E,2026-03-19/2026-03-25,168,0.554429482636428,0.09427635941034314
E,2026-03-26/2026-04-01,168,0.4069602272727273,-0.16097362437356894
E,2026-04-02/2026-04-08,168,0.419277108433735,-0.14003261455401184
E,2026-04-09/2026-04-15,168,0.5622165532879818,0.10823398372418398
E,2026-04-16/2026-04-22,168,0.4344401873137505,-0.11444313517879928
E,2026-04-23/2026-04-29,168,0.45927344969490563,-0.07096062149729315
E,2026-04-30/2026-05-06,168,0.5128334534967557,0.022186059081564548
E,2026-05-07/2026-05-13,168,0.6027698863636364,0.17851883057678444
E,2026-05-14/2026-05-20,168,0.4817652901944089,-0.031735151394288126
E,2026-05-21/2026-05-27,168,0.4399147727272728,-0.10396905193991796
E,2026-05-28/2026-06-03,168,0.5321305347901092,0.055459845577121566
E,2026-06-04/2026-06-10,168,0.49787294384571745,-0.003693068771744989
E,2026-06-11/2026-06-17,168,0.5018434486670448,0.0032094463211454717
E,2026-06-18/2026-06-24,168,0.4788081354003698,-0.036733642154664084
E,2026-06-25/2026-07-01,168,0.5179509010926635,0.031077327048969476
E,2026-07-02/2026-07-08,20,0.34375,-0.2704217541489676
A+B,2024-06-27/2024-07-03,24,0.5882352941176471,0.1390504885398514
A+B,2024-07-04/2024-07-10,168,0.5161427961883088,0.02791134367662105
