feature,split,n,episodes,edge,ep_edge,P_pos,wk_neg_frac,n_weeks,streak_hits,pnl
bb_pct_1h,< 0.7651,761,272,-0.005607095926412618,-0.021578256695323334,0.16066666666666668,0.42857142857142855,7,2,22.47999999999996
bb_pct_1h,< 0.8475,869,310,-0.007499424626006904,-0.019603538994398675,0.17,0.42857142857142855,7,2,-169.02999999999986
mu6h,< -0.003463,109,54,-0.0960091743119266,-0.08068579063786009,0.056,0.5714285714285714,7,0,-1038.4299999999998
mu6h,< -0.002507,217,82,-0.0338479262672811,-0.05572379742547425,0.08033333333333334,0.5714285714285714,7,0,-761.4000000000001
mu6h,< -0.001587,325,116,-0.019953846153846162,-0.03401175260734635,0.153,0.42857142857142855,7,0,-501.04999999999995
mu6h,< 0.0001033,542,202,-0.005898523985239846,-0.01582245728888365,0.27166666666666667,0.42857142857142855,7,0,334.01
mu6h,< 0.0008301,652,237,-0.00655981595092025,-0.024895118759170973,0.14433333333333334,0.2857142857142857,7,2,235.01999999999998
mu6h,>= 0.001446,326,129,-0.005352760736196318,-0.020098425319082302,0.264,0.42857142857142855,7,0,-97.94999999999996
mu12h,< -0.002509,107,54,-0.020046728971962625,-0.06402074974279835,0.12133333333333333,0.5714285714285714,7,0,-144.34999999999997
mu12h,< -0.001347,325,118,-0.012461538461538458,-0.04314855591469892,0.09933333333333333,0.5714285714285714,7,0,-273.1500000000001
mu12h,>= 0.001579,219,78,-0.029109589041095885,-0.01444198416090083,0.3576666666666667,0.7142857142857143,7,0,23.41999999999993
mu24h,< -0.001533,217,78,-0.008986175115207374,-0.03865079534354535,0.15233333333333332,0.5,6,0,-125.83999999999992
mu24h,< -0.000461,435,152,-0.012172413793103447,-0.029858066757012476,0.13833333333333334,0.5714285714285714,7,2,-553.6300000000001
mu24h,< -0.0001504,542,186,-0.008016605166051663,-0.028205619943999647,0.14366666666666666,0.7142857142857143,7,4,-55.049999999999926
mu24h,< 0.0001485,651,224,-0.006182795698924735,-0.02470748883633314,0.15,0.7142857142857143,7,4,-246.18000000000023
mu24h,>= 0.001112,218,83,-0.030045871559633036,-0.0018700220086695998,0.491,0.5,6,0,-378.17
mu24h,>= 0.001947,109,43,-0.010504587155963306,-0.009674373169681314,0.43333333333333335,0.5,4,0,-26.250000000000025
regime_z,< -0.08454,435,154,-0.01418390804597701,-0.03242993136451091,0.12766666666666668,0.42857142857142855,7,0,38.70000000000003
regime_z,< 0.0062,543,198,-0.02041804788213628,-0.03841576965269579,0.06466666666666666,0.2857142857142857,7,2,-237.5300000000001
regime_z,< 0.0892,651,237,-0.011339477726574496,-0.02699858195248649,0.14033333333333334,0.2857142857142857,7,2,-26.330000000000155
regime_z,< 0.2709,869,307,-0.01442117376294591,-0.02654609758316843,0.094,0.42857142857142855,7,4,-342.7800000000001
regime_z,< 0.3648,978,340,-0.006275051124744378,-0.013443910783960051,0.25766666666666665,0.5714285714285714,7,4,299.23
chg_4h,< -0.9937,215,78,-0.024976744186046517,-0.05150685347985349,0.109,0.5714285714285714,7,0,-996.5699999999997
chg_4h,< -0.4333,434,158,-0.029970046082949304,-0.042470420886075944,0.07633333333333334,0.7142857142857143,7,4,-1312.21
chg_4h,< -0.1091,542,197,-0.009643911439114396,-0.02240153720459368,0.19833333333333333,0.5714285714285714,7,4,-714.2300000000001
bp_4h,< 0.2056,213,87,-0.022192488262910797,-0.031944494252873566,0.21733333333333332,0.5714285714285714,7,0,-635.7700000000001
bp_4h,< 0.2885,322,118,-0.02495962732919254,-0.049231116737390036,0.07733333333333334,0.5714285714285714,7,0,-686.3400000000001
bp_4h,< 0.3472,429,158,-0.028198135198135202,-0.03409095815067492,0.12633333333333333,0.5714285714285714,7,4,-1141.4
bp_4h,< 0.4842,538,193,-0.035858736059479555,-0.04214139007830588,0.055,0.5714285714285714,7,4,-1548.1499999999996
bp_4h,< 0.6235,649,235,-0.016551617873651767,-0.019180923758353546,0.20733333333333334,0.5714285714285714,7,4,-858.31
bp_4h,< 0.7344,757,267,-0.013364597093791284,-0.018289572920213368,0.20833333333333334,0.42857142857142855,7,4,-818.5300000000001
bp_4h,< 0.8327,869,305,-0.008690448791714617,-0.013600317621176639,0.254,0.5714285714285714,7,4,-443.89000000000004
liq_score,< -1,705,328,-0.005921985815602838,-0.004604147098892525,0.411,0.4444444444444444,9,1,750.6499999999996
liq_bias,< -0.9199,753,352,-0.006003984063745021,-0.0076056309743300155,0.3526666666666667,0.5555555555555556,9,1,168.45999999999998
oi_chg_pct,< -0.1276,301,193,-0.015196013289036553,-0.02932176295336788,0.15833333333333333,0.6666666666666666,9,1,-626.91
oi_chg_pct,< -0.06685,452,253,-0.028007743362831856,-0.03715169619382228,0.08666666666666667,0.7777777777777778,9,1,-1031.38
oi_chg_pct,< -0.028,601,311,-0.01369883527454243,-0.020060698877150004,0.20333333333333334,0.6666666666666666,9,1,-1027.9799999999998
