logged_at,contract_ticker,p_market,decision,side,would_win,would_pnl,asset,logged_at_p,effective,smc_state,be,won
2026-04-12 15:42:14,KXBTCD-26APR1212-T70999.99,0.09,trade,yes,False,-31.89,BTC,2026-04-12 15:42:14+00:00,2026-04-12 15:00:00+00:00,2.0,0.09,False
2026-04-12 16:00:26,KXBTCD-26APR1213-T70999.99,0.295,trade,no,True,20.92,BTC,2026-04-12 16:00:26+00:00,2026-04-12 16:00:00+00:00,2.0,0.7050000000000001,True
2026-04-12 16:07:56,KXBTCD-26APR1213-T70799.99,0.735,trade,yes,True,18.03,BTC,2026-04-12 16:07:56+00:00,2026-04-12 16:00:00+00:00,2.0,0.735,True
2026-04-12 16:12:15,KXBTCD-26APR1213-T71099.99,0.205,trade,no,True,12.89,BTC,2026-04-12 16:12:15+00:00,2026-04-12 16:00:00+00:00,2.0,0.795,True
2026-04-12 17:00:26,KXBTCD-26APR1214-T71099.99,0.23,trade,no,False,-50.0,BTC,2026-04-12 17:00:26+00:00,2026-04-12 17:00:00+00:00,2.0,0.77,False
2026-04-12 17:01:31,KXBTCD-26APR1214-T70899.99,0.675,trade,yes,True,24.07,BTC,2026-04-12 17:01:31+00:00,2026-04-12 17:00:00+00:00,2.0,0.675,True
2026-04-12 17:30:28,KXBTCD-26APR1214-T70999.99,0.645,trade,yes,True,27.52,BTC,2026-04-12 17:30:28+00:00,2026-04-12 17:00:00+00:00,2.0,0.645,True
2026-04-12 18:08:00,KXBTCD-26APR1215-T71299.99,0.235,trade,no,True,15.36,BTC,2026-04-12 18:08:00+00:00,2026-04-12 18:00:00+00:00,2.0,0.765,True
2026-04-12 18:19:49,KXBTCD-26APR1215-T71199.99,0.345,trade,no,True,26.34,BTC,2026-04-12 18:19:49+00:00,2026-04-12 18:00:00+00:00,2.0,0.655,True
2026-04-12 18:43:29,KXBTCD-26APR1215-T71099.99,0.735,trade,yes,True,18.03,BTC,2026-04-12 18:43:29+00:00,2026-04-12 18:00:00+00:00,2.0,0.735,True
2026-04-12 19:00:38,KXBTCD-26APR1216-T71099.99,0.7,trade,yes,True,21.43,BTC,2026-04-12 19:00:38+00:00,2026-04-12 19:00:00+00:00,2.0,0.7,True
2026-04-12 19:01:43,KXBTCD-26APR1217-T70999.99,0.685,trade,yes,True,22.99,BTC,2026-04-12 19:01:43+00:00,2026-04-12 19:00:00+00:00,2.0,0.685,True
2026-04-12 19:07:07,KXBTCD-26APR1216-T71299.99,0.205,trade,no,True,12.89,BTC,2026-04-12 19:07:07+00:00,2026-04-12 19:00:00+00:00,2.0,0.795,True
2026-04-12 19:12:28,KXBTCD-26APR1217-T71499.99,0.22,trade,no,True,14.1,BTC,2026-04-12 19:12:28+00:00,2026-04-12 19:00:00+00:00,2.0,0.78,True
2026-04-12 19:38:10,KXBTCD-26APR1217-T71249.99,0.295,trade,no,False,-50.0,BTC,2026-04-12 19:38:10+00:00,2026-04-12 19:00:00+00:00,2.0,0.7050000000000001,False
2026-04-12 21:04:52,KXBTCD-26APR1218-T71599.99,0.275,trade,no,True,18.97,BTC,2026-04-12 21:04:52+00:00,2026-04-12 21:00:00+00:00,2.0,0.725,True
2026-04-12 21:09:46,KXBTCD-26APR1218-T71199.99,0.745,trade,yes,True,17.11,BTC,2026-04-12 21:09:46+00:00,2026-04-12 21:00:00+00:00,2.0,0.745,True
