decision_time,ticker,win,would_pnl,net_move_pct,mae_pct,touched_strike,path_rv,reversals,n_bars,monotonic_frac,pre_rv5,pre_rv15,pre_rev5,pre_rev15,pre_maxdd5,episode
2026-07-05 10:24:26.449839+00:00,KXBTC15M-26JUL050630-30,0.0,-84.19,0.0443255521546456,0.0196884551966249,False,0.0003106215804678,4,6,0.1666666666666666,0.0004994318866288659,0.00036436171797141073,3,6,0.0,45
2026-07-05 12:16:08.216497+00:00,KXBTC15M-26JUL050830-30,1.0,27.68,0.2410831267969731,0.0582389400485519,False,0.0003208132960511,7,14,0.2857142857142857,0.00034972034758123607,0.00030312695315066785,4,11,0.0,46
2026-07-05 15:34:20.566195+00:00,KXBTC15M-26JUL051145-45,0.0,-66.89,-0.084539809439173,-0.1102756631511138,True,0.0005217271430821,7,11,0.5454545454545454,0.00017818001348133967,0.00015720015186356244,3,9,0.0,47
2026-07-05 15:49:41.019688+00:00,KXBTC15M-26JUL051200-00,1.0,33.8,0.0865131275757923,0.0751373158990689,False,9.718662637030872e-05,4,11,0.0909090909090909,0.00032582481604466815,0.0004647449987182549,5,11,-0.0429592034272998,47
2026-07-05 19:33:47.562671+00:00,KXBTC15M-26JUL051545-45,1.0,30.79,0.025715713233107,0.025715713233107,False,0.0001582364500157,9,12,0.25,0.00014377162824471515,0.0003467223581391738,4,11,0.0,48
2026-07-05 21:46:05.770506+00:00,KXBTC15M-26JUL051800-00,1.0,179.1,0.049313491338415,-0.0412077077665858,True,0.0010580827773544,10,14,0.2142857142857142,0.0005241423468933573,0.00039457128120950607,4,9,-0.03615167629573348,49
2026-07-05 22:16:43.921168+00:00,KXBTC15M-26JUL051830-30,1.0,12.6,1.0294789955806984,0.2421782241202499,False,0.0009745338430487,10,14,0.6428571428571429,0.0011944087789087271,0.0008707722114218042,4,10,-0.06315970429861378,49
2026-07-05 22:32:01.652043+00:00,KXBTC15M-26JUL051845-45,0.0,-112.45,-0.3045243329693309,-0.3748692418160319,True,0.0005751822294581,10,13,0.3846153846153846,0.0016282390947626225,0.001105077439243619,4,11,0.0,49
2026-07-05 22:47:18.430445+00:00,KXBTC15M-26JUL051900-00,1.0,42.88,0.3515301019376902,0.0252633319460906,False,0.0003889161377977,8,13,0.6153846153846154,0.000502200889493615,0.0007093237002893456,3,10,0.0,49
2026-07-05 23:02:40.029301+00:00,KXBTC15M-26JUL051915-15,1.0,45.83,0.329110987369098,0.0658928659537206,False,0.0004081022565366,9,13,0.5384615384615384,0.00039860126307196406,0.00047666440392030976,2,9,0.0,49
2026-07-06 00:03:43.320521+00:00,KXBTC15M-26JUL052015-15,0.0,-85.47,0.1386528856506551,-0.175588647051337,True,0.0008890594141645,10,12,0.4166666666666667,0.0005913145657251668,0.00042151450110976767,4,10,0.0,50
