logged_at,contract_ticker,spot,strike,p_market,tau_minutes,realized_vol_annual,resolved_yes,week,effective,p_sc,p_model_yes,p_model_no,edge_yes,edge_no,best_side,best_edge,win,cost,era
2026-07-09 05:16:20+00:00,KXBTC15M-26JUL090130-30,62461.71,62452.56,0.475,13.7,0.368721,0.0,2026-07-06/2026-07-12,2026-07-09 05:15:00+00:00,0.4899328859060403,0.5286168396909271,0.470423519998473,0.05361683969092712,-0.05457648000152704,yes,0.05361683969092712,0.0,0.475,07-01+ (s23 window)
2026-07-05 18:22:31+00:00,KXBTC15M-26JUL051430-30,62641.36,62606.43,0.88,7.5,0.221613,1.0,2026-06-29/2026-07-05,2026-07-05 18:15:00+00:00,0.5508684863523573,0.8288974561993965,0.1734096937467846,-0.05110254380060353,0.053409693746784614,no,0.053409693746784614,0.0,0.12,07-01+ (s23 window)
2026-07-04 16:22:57+00:00,KXBTC15M-26JUL041230-30,62809.89,62756.99,0.835,7.0,0.409034,1.0,2026-06-29/2026-07-05,2026-07-04 16:15:00+00:00,0.5041291291291291,0.7818815605234966,0.21832682276964355,-0.05311843947650341,0.05332682276964351,no,0.05332682276964351,0.0,0.16500000000000004,07-01+ (s23 window)
2026-05-24 08:20:18+00:00,KXBTC15M-26MAY240430-30,76677.63,76656.8,0.815,9.7,0.134226,1.0,2026-05-18/2026-05-24,2026-05-24 08:15:00+00:00,0.6012759170653907,0.76817507785587,0.23816694481092449,-0.04682492214412992,0.05316694481092443,no,0.05316694481092443,0.0,0.18500000000000005,pre-07-01 (held-out)
2026-07-03 00:37:41+00:00,KXBTC15M-26JUL022045-45,61213.31,61241.48,0.245,7.3,0.273422,1.0,2026-06-29/2026-07-05,2026-07-03 00:30:00+00:00,0.6188212927756654,0.298142296717216,0.7091303496781988,0.05314229671721599,-0.045869650321801236,yes,0.05314229671721599,1.0,0.245,07-01+ (s23 window)
2026-05-27 00:34:12+00:00,KXBTC15M-26MAY262045-45,75899.34,75825.28,0.815,10.8,0.145374,1.0,2026-05-25/2026-05-31,2026-05-27 00:30:00+00:00,0.6422222222222222,0.868118228811722,0.13860258541866533,0.05311822881172201,-0.04639741458133473,yes,0.05311822881172201,1.0,0.815,pre-07-01 (held-out)
2026-05-27 02:40:35+00:00,KXBTC15M-26MAY262245-45,75609.72,75665.48,0.115,4.4,0.316231,0.0,2026-05-25/2026-05-31,2026-05-27 02:30:00+00:00,0.6788732394366197,0.16807662704227272,0.8381673664822595,0.053076627042272714,-0.046832633517740474,yes,0.053076627042272714,0.0,0.115,pre-07-01 (held-out)
2026-07-06 10:17:05+00:00,KXBTC15M-26JUL060630-30,62795.52,62783.28,0.685,12.9,0.160946,1.0,2026-07-06/2026-07-12,2026-07-06 10:15:00+00:00,0.4355942750466708,0.6262744505812469,0.36804368151292766,-0.05872554941875319,0.05304368151292771,no,0.05304368151292771,0.0,0.31499999999999995,07-01+ (s23 window)
2026-07-08 15:37:22+00:00,KXBTC15M-26JUL081145-45,61693.57,61603.89,0.82,7.6,0.709671,0.0,2026-07-06/2026-07-12,2026-07-08 15:30:00+00:00,0.4752475247524752,0.7656455219340981,0.23300067353067122,-0.05435447806590188,0.05300067353067117,no,0.05300067353067117,1.0,0.18000000000000005,07-01+ (s23 window)
2026-05-27 06:18:03+00:00,KXBTC15M-26MAY270230-30,75625.98,75631.93,0.505,11.9,0.160066,0.0,2026-05-25/2026-05-31,2026-05-27 06:15:00+00:00,0.4491279069767442,0.4475838149239097,0.5479086843780694,-0.05741618507609031,0.05290868437806939,no,0.05290868437806939,1.0,0.495,pre-07-01 (held-out)
